Format,Mode,File,Encryption_Time,Decryption_Time
DER,CBC,256KB.txt,10.334,9.17
DER,CBC,256KB.txt,9.547,8.716
DER,CBC,256KB.txt,9.514,8.823
DER,CBC,256KB.txt,9.492,8.614
DER,CBC,256KB.txt,10.889,8.66
DER,CBC,256KB.txt,9.758,12.087
DER,CBC,256KB.txt,9.505,8.528
DER,CBC,256KB.txt,9.398,8.699
DER,CBC,256KB.txt,10.149,9.444
DER,CBC,256KB.txt,10.327,8.955
DER,CBC,256KB.txt,9.692,8.599
DER,CBC,256KB.txt,8.94,9.468
DER,CBC,256KB.txt,9.461,9.403
DER,CBC,256KB.txt,9.619,8.538
DER,CBC,256KB.txt,9.371,8.55
DER,CBC,256KB.txt,10.287,8.933
DER,CBC,256KB.txt,9.516,8.715
DER,CBC,256KB.txt,9.897,8.783
DER,CBC,256KB.txt,9.371,8.706
DER,CBC,256KB.txt,9.573,9.701
DER,CBC,256KB.txt,9.403,8.517
DER,CBC,256KB.txt,9.771,14.473
DER,CBC,256KB.txt,10.229,8.605
DER,CBC,256KB.txt,9.535,9.003
DER,CBC,256KB.txt,10.485,9.606
DER,CBC,256KB.txt,10.068,8.694
DER,CBC,256KB.txt,9.912,8.727
DER,CBC,256KB.txt,9.703,8.674
DER,CBC,512KB.txt,17.381,15.232
DER,CBC,512KB.txt,17.704,15.296
DER,CBC,512KB.txt,19.617,16.389
DER,CBC,512KB.txt,18.808,16.254
DER,CBC,512KB.txt,19.966,16.61
DER,CBC,512KB.txt,18.852,19.246
DER,CBC,512KB.txt,23.739,18.541
DER,CBC,512KB.txt,21.885,18.813
DER,CBC,512KB.txt,17.188,18.019
DER,CBC,512KB.txt,23.337,22.898
DER,CBC,512KB.txt,22.028,18.271
DER,CBC,512KB.txt,21.966,19.51
DER,CBC,512KB.txt,25.022,18.603
DER,CBC,512KB.txt,22.975,19.245
DER,CBC,512KB.txt,18.924,20.272
DER,CBC,512KB.txt,21.367,15.072
DER,CBC,512KB.txt,35.212,25.669
DER,CBC,512KB.txt,23.114,15.851
DER,CBC,512KB.txt,18.978,19.938
DER,CBC,512KB.txt,15.206,16.922
DER,CBC,512KB.txt,21.181,20.958
DER,CBC,512KB.txt,19.615,18.928
DER,CBC,512KB.txt,19.471,18.071
DER,CBC,512KB.txt,21.047,20.493
DER,CBC,512KB.txt,23.014,17.767
DER,CBC,512KB.txt,18.792,16.637
DER,CBC,512KB.txt,19.132,17.125
DER,CBC,512KB.txt,20.1,16.268
DER,CBC,512KB.txt,17.844,16.198
DER,CBC,512KB.txt,17.712,16
DER,CBC,512KB.txt,19.783,18.076
DER,CBC,512KB.txt,18.113,17.134
DER,CBC,512KB.txt,18.82,18.458
DER,CBC,512KB.txt,18.022,19.718
DER,CBC,512KB.txt,19.738,16.597
DER,CBC,512KB.txt,15.382,15.509
DER,CBC,512KB.txt,18.191,42.469
DER,CBC,512KB.txt,87.329,29.825
DER,CBC,512KB.txt,22.824,18.461
DER,CBC,512KB.txt,18.765,19.993
DER,CBC,512KB.txt,17.831,17.873
DER,CBC,512KB.txt,19.801,15.603
DER,CBC,512KB.txt,18.579,27.928
DER,CBC,512KB.txt,21.998,16.723
DER,CBC,512KB.txt,18.271,16.672
DER,CBC,512KB.txt,17.998,16.09
DER,CBC,512KB.txt,17.867,17.398
DER,CBC,512KB.txt,18.01,19.396
DER,CBC,512KB.txt,17.676,16.195
DER,CBC,512KB.txt,18.029,16.161
DER,CBC,512KB.txt,17.287,15.992
DER,CBC,512KB.txt,17.682,17.017
DER,CBC,512KB.txt,18.535,17.101
DER,CBC,512KB.txt,18.234,19.914
DER,CBC,512KB.txt,17.996,16.89
DER,CBC,512KB.txt,18.925,17.712
DER,CBC,512KB.txt,18.62,17.735
DER,CBC,512KB.txt,18.012,18.029
DER,CBC,512KB.txt,18.013,20.344
DER,CBC,512KB.txt,17.949,17.586
DER,CBC,512KB.txt,18.473,15.948
DER,CBC,512KB.txt,17.714,17.563
DER,CBC,512KB.txt,18.076,16.145
DER,CBC,512KB.txt,17.697,18.592
DER,CBC,512KB.txt,18.44,16.681
DER,CBC,512KB.txt,18.167,16.57
DER,CBC,512KB.txt,17.494,15.909
DER,CBC,512KB.txt,19.009,17.005
DER,CBC,512KB.txt,18.554,16.263
DER,CBC,512KB.txt,13.008,15.917
DER,CBC,512KB.txt,18.591,17.729
DER,CBC,512KB.txt,18.891,17.577
DER,CBC,512KB.txt,19.521,16.716
DER,CBC,512KB.txt,18.16,16.628
DER,CBC,512KB.txt,21.725,17.037
DER,CBC,512KB.txt,17.833,16.357
DER,CBC,512KB.txt,17.737,14.955
DER,CBC,512KB.txt,17.838,16.215
DER,CBC,512KB.txt,22.182,16.534
DER,CBC,512KB.txt,18.576,16.375
DER,CBC,512KB.txt,18.007,16.847
DER,CBC,512KB.txt,18.479,17.179
DER,CBC,512KB.txt,18.382,18.429
DER,CBC,512KB.txt,18.429,16.878
DER,CBC,512KB.txt,19.47,19.503
DER,CBC,512KB.txt,18.087,16.92
DER,CBC,512KB.txt,18.528,16.508
DER,CBC,512KB.txt,17.49,15.625
DER,CBC,512KB.txt,17.369,16.459
DER,CBC,512KB.txt,17.91,16.295
DER,CBC,512KB.txt,18.772,16.87
DER,CBC,512KB.txt,18.657,16.2
DER,CBC,512KB.txt,18.176,17.548
DER,CBC,512KB.txt,24.267,22.481
DER,CBC,512KB.txt,29.053,18.314
DER,CBC,512KB.txt,17.975,17.08
DER,CBC,512KB.txt,47.757,14.871
DER,CBC,512KB.txt,19.019,17.292
DER,CBC,512KB.txt,17.083,17.262
DER,CBC,512KB.txt,17.936,16.485
DER,CBC,512KB.txt,18.208,16.746
DER,CBC,512KB.txt,21.518,21.927
DER,CBC,512KB.txt,13.477,11.451
DER,CBC,512KB.txt,62.575,42.174
DER,CBC,512KB.txt,34.843,20.913
DER,CBC,512KB.txt,27.394,24.199
DER,CBC,512KB.txt,34.912,30.723
DER,CBC,512KB.txt,22.158,20.146
DER,CBC,512KB.txt,21.034,17.753
DER,CBC,512KB.txt,18.84,19.017
DER,CBC,512KB.txt,18.953,17.616
DER,CBC,512KB.txt,18.648,16.675
DER,CBC,16MB.txt,548.865,455.948
DER,CBC,16MB.txt,515.198,462.349
DER,CBC,16MB.txt,508.326,486.772
DER,CBC,16MB.txt,507.116,466.023
DER,CBC,16MB.txt,463.88,441.928
DER,CBC,16MB.txt,508.897,514.582
DER,CBC,16MB.txt,505.679,452.149
DER,CBC,16MB.txt,500.259,453.579
DER,CBC,16MB.txt,531.437,476.112
DER,CBC,16MB.txt,534.574,463.454
DER,CBC,16MB.txt,489.373,464.69
DER,CBC,16MB.txt,490.781,467.37
DER,CBC,16MB.txt,548.703,734.58
DER,CBC,16MB.txt,567.781,515.4
DER,CBC,16MB.txt,519.855,486.159
DER,CBC,16MB.txt,494.522,467.624
DER,CBC,16MB.txt,488.51,455.46
DER,CBC,16MB.txt,506.333,469.703
DER,CBC,16MB.txt,498.846,480.547
DER,CBC,16MB.txt,523.036,475.495
DER,CBC,16MB.txt,497.722,470.666
DER,CBC,16MB.txt,569.023,490.522
DER,CBC,16MB.txt,523.537,479.458
DER,CBC,16MB.txt,514.688,465.828
DER,CBC,16MB.txt,504.436,457.351
DER,CBC,16MB.txt,503.74,455.833
DER,CBC,16MB.txt,490.945,458.028
DER,CBC,16MB.txt,505.784,456.928
DER,CBC,16MB.txt,487.77,450.227
DER,CBC,16MB.txt,495.664,448.773
DER,CBC,16MB.txt,502.96,483.329
DER,CBC,16MB.txt,494.198,478.959
DER,CBC,16MB.txt,513.353,484.703
DER,CBC,16MB.txt,519.475,518.128
DER,CBC,16MB.txt,479.208,472.89
DER,CBC,16MB.txt,489.148,453.185
DER,CBC,16MB.txt,497.122,450.407
DER,CBC,16MB.txt,485.811,449.264
DER,CBC,16MB.txt,505.413,462.791
DER,CBC,16MB.txt,491.56,457.527
DER,CBC,16MB.txt,500.612,468.418
DER,CBC,16MB.txt,487.672,493.155
DER,CBC,16MB.txt,497.677,475.905
DER,CBC,16MB.txt,496.923,464.761
DER,CBC,16MB.txt,491.868,450.994
DER,CBC,16MB.txt,489.295,459.298
DER,CBC,16MB.txt,492.36,444.142
DER,CBC,16MB.txt,496.878,460.324
DER,CBC,16MB.txt,484.558,457.539
DER,CBC,16MB.txt,490.903,453.865
DER,CBC,16MB.txt,503.465,351.481
DER,CBC,16MB.txt,490.529,464.707
DER,CBC,16MB.txt,447.042,460.471
DER,CBC,16MB.txt,491.377,464.941
DER,CBC,16MB.txt,484.963,454.055
DER,CBC,16MB.txt,487.639,452.085
DER,CBC,16MB.txt,488.202,467.198
DER,CBC,16MB.txt,495.465,455.226
DER,CBC,16MB.txt,498.851,458.169
