KeySize,File,Encryption_Time,Decryption_Time
128,1KB.txt,3.69,4.504
128,1KB.txt,4.132,3.731
128,1KB.txt,4.696,5.555
128,1KB.txt,4.099,4.181
128,1KB.txt,4.765,3.812
128,1KB.txt,3.695,3.826
128,1KB.txt,3.66,3.843
128,1KB.txt,3.681,4.453
128,1KB.txt,6.3,4.863
128,1KB.txt,3.633,6.811
128,1KB.txt,3.887,6.516
128,1KB.txt,5.574,6.234
128,1KB.txt,3.716,4.646
128,1KB.txt,4.626,3.678
128,1KB.txt,5.899,4.031
128,1KB.txt,3.915,3.96
128,1KB.txt,6.038,5.696
128,1KB.txt,4.836,3.678
128,1KB.txt,3.972,4.593
128,1KB.txt,4.688,3.726
128,1KB.txt,4.642,3.811
128,1KB.txt,3.728,5.918
128,1KB.txt,3.905,3.824
128,1KB.txt,4.977,4.858
128,1KB.txt,3.765,4.699
128,1KB.txt,16.643,6.313
128,1KB.txt,4.912,3.703
128,1KB.txt,3.819,3.803
128,1KB.txt,5.704,3.609
128,1KB.txt,4.274,5.6
128,1KB.txt,3.725,7.394
128,1KB.txt,3.617,3.89
128,1KB.txt,7.539,6.603
128,1KB.txt,19.54,5.796
128,1KB.txt,22.229,6.462
128,1KB.txt,7.01,7.859
128,1KB.txt,7.034,5.568
128,1KB.txt,4.553,4.946
128,1KB.txt,4.034,4.096
128,1KB.txt,3.926,17.658
128,1KB.txt,3.769,4.157
128,1KB.txt,3.662,3.945
128,1KB.txt,4.235,3.609
128,1KB.txt,3.678,19.362
128,1KB.txt,4.329,6.224
128,1KB.txt,20.355,4.322
128,1KB.txt,4.023,3.546
128,1KB.txt,7.1,5.28
128,1KB.txt,4.88,3.855
128,1KB.txt,3.573,4.275
128,1KB.txt,5.25,5.208
